epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4371,4.5212,9.2993,2.10552,0,0,0,0,3.81729,4.89754,1.50699,0.00038583,0.00038583,0.00038583
2,42.0477,3.32773,5.0119,1.31955,8e-05,0.00804,0,0,2.77034,4.20053,1.20187,0.000779466,0.000779466,0.000779466
3,64.91,2.82215,3.73664,1.18806,0.60569,0.27495,0.29039,0.08273,2.52532,3.29933,1.15492,0.0011665,0.0011665,0.0011665
4,83.9402,2.65286,3.281,1.1624,0.39955,0.34594,0.36694,0.11924,2.41052,2.61898,1.13974,0.00139363,0.00139363,0.00139363
5,103.123,2.42557,2.83921,1.11525,0.50428,0.62297,0.50092,0.18598,2.28173,2.00741,1.12452,0.00138184,0.00138184,0.00138184
6,122.427,2.39312,2.73702,1.12671,0.43679,0.60853,0.44521,0.15813,2.23583,2.24052,1.10403,0.00137005,0.00137005,0.00137005
7,141.704,2.27281,2.48301,1.09454,0.46734,0.63881,0.50744,0.17641,2.15593,2.13346,1.08647,0.00135826,0.00135826,0.00135826
8,160.62,2.29119,2.46606,1.08712,0.57819,0.66831,0.638,0.23665,2.1167,1.80932,1.06402,0.00134648,0.00134648,0.00134648
9,179.896,2.29582,2.28294,1.08384,0.51213,0.61144,0.531,0.18839,2.15131,1.75642,1.04752,0.00133469,0.00133469,0.00133469
10,199.545,2.21969,2.19992,1.0781,0.52941,0.7589,0.64416,0.23399,2.02284,1.43481,1.03119,0.0013229,0.0013229,0.0013229
11,218.796,2.17084,2.07803,1.06259,0.66488,0.6659,0.64293,0.25305,2.02035,1.37887,1.05163,0.00131111,0.00131111,0.00131111
12,237.139,2.21142,1.97004,1.0548,0.5825,0.76009,0.64692,0.24454,1.97425,1.33796,1.03367,0.00129932,0.00129932,0.00129932
13,255.847,2.13554,1.85908,1.0381,0.69024,0.73751,0.72519,0.27245,2.02268,1.31916,1.03728,0.00128753,0.00128753,0.00128753
14,274.877,2.04991,1.81964,1.04126,0.72542,0.76436,0.74468,0.30131,1.92827,1.23749,1.01028,0.00127574,0.00127574,0.00127574
15,293.833,2.07713,1.78067,1.04915,0.75556,0.74363,0.75342,0.30512,1.93063,1.22516,1.01353,0.00126395,0.00126395,0.00126395
16,312.19,2.08256,1.62163,1.06297,0.73749,0.7757,0.78227,0.33297,1.908,1.15571,1.01331,0.00125216,0.00125216,0.00125216
17,331.865,2.03631,1.67418,1.02502,0.63381,0.72438,0.66851,0.27312,1.89614,1.27353,1.00611,0.00124037,0.00124037,0.00124037
18,351.452,2.01179,1.6281,1.02155,0.72014,0.7723,0.76791,0.31133,1.82847,1.20308,0.98707,0.00122858,0.00122858,0.00122858
19,371.095,1.96773,1.55314,1.00893,0.79488,0.76628,0.80038,0.33538,1.86946,1.19387,0.99362,0.00121679,0.00121679,0.00121679
20,390.739,2.01264,1.54102,1.02355,0.75505,0.76896,0.79037,0.33436,1.86357,1.17539,1.00471,0.001205,0.001205,0.001205
21,410.201,2.00406,1.53526,1.02148,0.76085,0.79606,0.78971,0.33278,1.90645,1.12646,1.02274,0.00119322,0.00119322,0.00119322
22,429.673,1.96188,1.46882,1.01915,0.73357,0.82638,0.80535,0.33754,1.8573,1.11675,0.99856,0.00118143,0.00118143,0.00118143
23,449.114,1.92219,1.46359,0.99795,0.77378,0.81885,0.82725,0.35583,1.79958,1.12703,0.98268,0.00116964,0.00116964,0.00116964
24,468.689,1.95412,1.43487,1.00384,0.72105,0.83843,0.83258,0.3441,1.82867,1.14293,0.99099,0.00115785,0.00115785,0.00115785
25,487.597,2.00143,1.47772,1.02861,0.74376,0.80873,0.80921,0.31936,1.86551,1.14218,0.99365,0.00114606,0.00114606,0.00114606
26,506.596,1.95906,1.43927,1.00427,0.7676,0.812,0.81064,0.32541,1.8433,1.1761,0.98724,0.00113427,0.00113427,0.00113427
27,525.575,1.93875,1.34476,0.97257,0.72342,0.7863,0.79366,0.33586,1.81463,1.13438,0.98594,0.00112248,0.00112248,0.00112248
28,544.895,1.82504,1.35869,1.01594,0.73202,0.76916,0.81454,0.36302,1.79386,1.13317,0.98235,0.00111069,0.00111069,0.00111069
29,564.34,1.90806,1.36809,0.98248,0.76723,0.8108,0.81629,0.36472,1.77523,1.0715,0.98135,0.0010989,0.0010989,0.0010989
30,583.575,1.89508,1.29804,1.00711,0.76743,0.8279,0.79618,0.31973,1.81893,1.11636,0.9864,0.00108711,0.00108711,0.00108711
31,602.865,1.90826,1.30278,0.995,0.83444,0.83861,0.85869,0.36729,1.76088,1.03551,0.97366,0.00107532,0.00107532,0.00107532
32,622.299,1.90824,1.3081,1.00087,0.82168,0.85984,0.86677,0.37946,1.76294,1.04852,0.97313,0.00106353,0.00106353,0.00106353
33,641.727,1.88602,1.28898,0.98962,0.79895,0.82964,0.85201,0.3775,1.783,1.05594,0.97791,0.00105174,0.00105174,0.00105174
34,661.107,1.91366,1.2455,1.00069,0.82302,0.80106,0.84215,0.36881,1.79278,1.08613,0.97866,0.00103995,0.00103995,0.00103995
35,680.38,1.8402,1.24943,0.99857,0.88278,0.86527,0.89475,0.4074,1.71047,1.00432,0.96592,0.00102817,0.00102817,0.00102817
36,699.435,1.87821,1.23121,0.99588,0.83317,0.83716,0.86406,0.39189,1.71845,1.02281,0.96567,0.00101638,0.00101638,0.00101638
37,718.99,1.89326,1.1963,0.97494,0.87356,0.8683,0.88037,0.39264,1.76336,0.97896,0.97818,0.00100459,0.00100459,0.00100459
38,738.511,1.97361,1.23577,0.99508,0.86968,0.88689,0.89126,0.38502,1.71864,1.01298,0.96177,0.000992798,0.000992798,0.000992798
39,757.006,1.86854,1.20811,0.98248,0.85995,0.86854,0.86614,0.3814,1.75419,0.97527,0.97778,0.000981008,0.000981008,0.000981008
40,775.822,1.88373,1.19148,0.96975,0.81164,0.83108,0.83244,0.35116,1.73617,1.06359,0.96923,0.000969219,0.000969219,0.000969219
41,795.271,1.90957,1.19882,1.00074,0.82239,0.8644,0.89364,0.41461,1.70486,0.982,0.96616,0.00095743,0.00095743,0.00095743
42,814.141,1.88408,1.17588,0.98397,0.83973,0.85779,0.86548,0.36598,1.75862,1.04305,0.96376,0.000945641,0.000945641,0.000945641
43,833.31,1.89925,1.17707,0.98994,0.86723,0.86033,0.88235,0.39719,1.65893,0.98946,0.95336,0.000933851,0.000933851,0.000933851
44,852.338,1.89779,1.20156,0.98596,0.86722,0.86865,0.88785,0.39225,1.6512,1.00826,0.95161,0.000922062,0.000922062,0.000922062
45,871.502,1.81388,1.12926,0.99355,0.88716,0.86608,0.90321,0.43482,1.64258,0.94239,0.9525,0.000910273,0.000910273,0.000910273
46,890.72,1.83074,1.11488,0.97573,0.88477,0.87842,0.91327,0.44001,1.63505,0.9461,0.95337,0.000898484,0.000898484,0.000898484
47,909.815,1.80446,1.09963,0.97514,0.87149,0.87032,0.88851,0.42944,1.63646,0.93329,0.95358,0.000886694,0.000886694,0.000886694
48,928.928,1.81655,1.14693,0.97814,0.88777,0.87578,0.88732,0.38233,1.66543,0.99271,0.95076,0.000874905,0.000874905,0.000874905
49,948.131,1.83814,1.09603,0.97771,0.87614,0.87044,0.88775,0.41769,1.66111,0.95664,0.95349,0.000863116,0.000863116,0.000863116
50,967.038,1.81753,1.09578,0.96387,0.85714,0.83454,0.85662,0.38475,1.73545,1.07075,0.95855,0.000851327,0.000851327,0.000851327
51,986.002,1.83169,1.10696,0.95752,0.87573,0.86641,0.87751,0.41984,1.6553,0.94272,0.9519,0.000839537,0.000839537,0.000839537
52,1004.03,1.79668,1.12173,0.96638,0.79834,0.84108,0.84614,0.37592,1.73291,1.07382,0.95564,0.000827748,0.000827748,0.000827748
53,1023.35,1.76643,1.09016,0.96786,0.90571,0.90795,0.90054,0.43614,1.59817,0.91596,0.93953,0.000815959,0.000815959,0.000815959
54,1042.35,1.80129,1.07003,0.95641,0.89782,0.91927,0.91629,0.41527,1.64,0.93978,0.94437,0.00080417,0.00080417,0.00080417
55,1061.71,1.78512,1.05661,0.96215,0.91186,0.92115,0.9138,0.42595,1.6355,0.89468,0.94718,0.00079238,0.00079238,0.00079238
56,1081.21,1.78436,1.06783,0.96875,0.90198,0.91495,0.92963,0.43898,1.61411,0.91176,0.94122,0.000780591,0.000780591,0.000780591
57,1100.48,1.80044,1.08131,0.98057,0.8913,0.90279,0.90006,0.41417,1.64021,0.93975,0.94853,0.000768802,0.000768802,0.000768802
58,1119.97,1.77619,1.06599,0.9551,0.88997,0.9055,0.90672,0.43377,1.60915,0.90632,0.93724,0.000757013,0.000757013,0.000757013
59,1139.3,1.78415,1.06439,0.97555,0.88323,0.90381,0.90415,0.42836,1.59261,0.90049,0.93629,0.000745223,0.000745223,0.000745223
60,1158.78,1.70705,1.01242,0.95402,0.91611,0.90021,0.9225,0.45296,1.59041,0.88798,0.9383,0.000733434,0.000733434,0.000733434
61,1178.2,1.74161,0.98875,0.94485,0.91354,0.90135,0.91944,0.45347,1.56786,0.86882,0.93733,0.000721645,0.000721645,0.000721645
62,1197.95,1.70862,1.00324,0.96267,0.90554,0.90869,0.93419,0.44888,1.59686,0.88072,0.93887,0.000709856,0.000709856,0.000709856
63,1217.69,1.75569,1.01929,0.95042,0.91151,0.91709,0.9312,0.44829,1.57009,0.8702,0.92809,0.000698066,0.000698066,0.000698066
64,1237.47,1.74888,1.01892,0.97269,0.90741,0.90343,0.89362,0.43355,1.62338,0.90097,0.94208,0.000686277,0.000686277,0.000686277
65,1256.79,1.76371,1.06968,0.96056,0.87878,0.89166,0.90077,0.40307,1.60208,0.95806,0.92944,0.000674488,0.000674488,0.000674488
66,1275.94,1.73163,1.0881,0.9573,0.89133,0.89514,0.90862,0.43379,1.6276,0.93306,0.9448,0.000662699,0.000662699,0.000662699
67,1295.51,1.69101,1.0231,0.94832,0.88047,0.91746,0.92133,0.44542,1.55363,0.88374,0.92476,0.000650909,0.000650909,0.000650909
68,1314.91,1.7041,0.99812,0.93913,0.8866,0.92254,0.92652,0.46938,1.52948,0.85359,0.92347,0.00063912,0.00063912,0.00063912
69,1334.28,1.72115,0.97455,0.94909,0.90471,0.90322,0.92477,0.45128,1.56076,0.87998,0.92918,0.000627331,0.000627331,0.000627331
70,1353.81,1.7115,1.0133,0.95594,0.93807,0.94564,0.95135,0.46485,1.54744,0.86864,0.92714,0.000615542,0.000615542,0.000615542
71,1373.34,1.69002,0.97584,0.94235,0.92253,0.92115,0.92317,0.44885,1.54303,0.88912,0.9281,0.000603752,0.000603752,0.000603752
72,1392.63,1.69506,1.02997,0.9665,0.88564,0.88334,0.87854,0.40482,1.66891,1.00363,0.94246,0.000591963,0.000591963,0.000591963
73,1412.2,1.76467,0.98846,0.96624,0.91833,0.90705,0.92592,0.45485,1.5647,0.88042,0.93331,0.000580174,0.000580174,0.000580174
74,1431.28,1.69304,1.0305,0.93355,0.87521,0.88007,0.89973,0.40547,1.58921,0.93288,0.93385,0.000568385,0.000568385,0.000568385
75,1450.66,1.68262,1.00348,0.94522,0.93315,0.92127,0.92451,0.46443,1.49779,0.84222,0.92273,0.000556595,0.000556595,0.000556595
76,1470.17,1.66126,0.93934,0.95622,0.92083,0.92062,0.91705,0.46233,1.52342,0.84454,0.9272,0.000544806,0.000544806,0.000544806
77,1489.4,1.64878,0.98064,0.94337,0.9415,0.93733,0.93909,0.46232,1.52922,0.84358,0.92653,0.000533017,0.000533017,0.000533017
78,1508.74,1.69046,0.92245,0.92749,0.92172,0.92589,0.92646,0.46938,1.52775,0.82527,0.92802,0.000521228,0.000521228,0.000521228
79,1528.33,1.6563,0.91712,0.93923,0.9315,0.91971,0.93062,0.46962,1.52509,0.8051,0.92449,0.000509438,0.000509438,0.000509438
80,1547.47,1.62955,0.90976,0.93882,0.94856,0.91109,0.93969,0.49528,1.49209,0.80155,0.92105,0.000497649,0.000497649,0.000497649
81,1566.91,1.69527,0.9082,0.92807,0.9511,0.93486,0.94228,0.48478,1.49883,0.79685,0.91546,0.00048586,0.00048586,0.00048586
82,1585.03,1.67315,0.90827,0.942,0.93951,0.94767,0.9346,0.48424,1.50661,0.79198,0.92035,0.000474071,0.000474071,0.000474071
83,1604.32,1.62478,0.89009,0.93061,0.93596,0.93554,0.94006,0.47775,1.49265,0.79535,0.91357,0.000462281,0.000462281,0.000462281
84,1623.46,1.59997,0.87198,0.92317,0.92963,0.92461,0.92404,0.49112,1.49366,0.7753,0.91668,0.000450492,0.000450492,0.000450492
85,1642.68,1.62916,0.92078,0.93508,0.93962,0.94368,0.94982,0.48445,1.49929,0.80399,0.91188,0.000438703,0.000438703,0.000438703
86,1662.48,1.67365,0.9178,0.9607,0.93392,0.93926,0.93639,0.48112,1.50562,0.79243,0.91856,0.000426914,0.000426914,0.000426914
87,1681.84,1.60812,0.86591,0.9301,0.94819,0.94657,0.94617,0.47559,1.48238,0.78212,0.91152,0.000415124,0.000415124,0.000415124
88,1701.15,1.67598,0.8776,0.94571,0.94318,0.93818,0.93971,0.50014,1.43114,0.75544,0.90788,0.000403335,0.000403335,0.000403335
89,1720.72,1.61336,0.87081,0.91631,0.9427,0.92794,0.94715,0.49802,1.4768,0.78421,0.9127,0.000391546,0.000391546,0.000391546
90,1739.19,1.61289,0.87797,0.93943,0.92712,0.92795,0.93328,0.49459,1.51261,0.77541,0.92678,0.000379757,0.000379757,0.000379757
91,1758.23,1.65314,0.87502,0.92546,0.93174,0.93144,0.94542,0.50562,1.44787,0.75193,0.91086,0.000367967,0.000367967,0.000367967
92,1777.5,1.59578,0.85463,0.93007,0.94514,0.94609,0.9518,0.50534,1.4469,0.74977,0.91232,0.000356178,0.000356178,0.000356178
93,1795.94,1.60333,0.88158,0.92798,0.94281,0.94379,0.9463,0.49866,1.46186,0.75132,0.91426,0.000344389,0.000344389,0.000344389
94,1815.01,1.61596,0.87346,0.9205,0.93678,0.94032,0.94958,0.49666,1.47042,0.76377,0.9092,0.0003326,0.0003326,0.0003326
95,1834.04,1.56684,0.82711,0.91786,0.95595,0.95619,0.9624,0.52208,1.41804,0.73761,0.9023,0.00032081,0.00032081,0.00032081
96,1853.12,1.6138,0.87227,0.94375,0.94977,0.95243,0.95777,0.51848,1.41468,0.73472,0.90417,0.000309021,0.000309021,0.000309021
97,1872.27,1.54805,0.862,0.92465,0.9343,0.94916,0.95262,0.50712,1.44312,0.74257,0.90515,0.000297232,0.000297232,0.000297232
98,1890.17,1.59744,0.84218,0.9512,0.93439,0.94539,0.95397,0.51662,1.44005,0.72816,0.90925,0.000285443,0.000285443,0.000285443
99,1909.89,1.62039,0.8401,0.9236,0.92561,0.93782,0.94904,0.50792,1.46932,0.76111,0.91292,0.000273654,0.000273654,0.000273654
100,1929.17,1.61786,0.86892,0.93239,0.93282,0.93898,0.9451,0.51878,1.41034,0.72836,0.90462,0.000261864,0.000261864,0.000261864
101,1948.05,1.54434,0.83219,0.94133,0.93441,0.94984,0.95391,0.52352,1.37539,0.71601,0.89942,0.000250075,0.000250075,0.000250075
102,1967.11,1.52654,0.80584,0.91135,0.93958,0.94883,0.96002,0.51616,1.40418,0.73947,0.89578,0.000238286,0.000238286,0.000238286
103,1986.14,1.52305,0.81937,0.90054,0.94716,0.94312,0.94523,0.53454,1.3743,0.71638,0.89595,0.000226497,0.000226497,0.000226497
104,2005.25,1.52016,0.80488,0.90536,0.94694,0.94563,0.9444,0.53381,1.36201,0.70134,0.89587,0.000214707,0.000214707,0.000214707
105,2022.92,1.55529,0.81813,0.92414,0.94607,0.95378,0.94871,0.51814,1.38998,0.7139,0.89475,0.000202918,0.000202918,0.000202918
106,2042.03,1.52792,0.80091,0.92803,0.9418,0.95117,0.95165,0.52948,1.37113,0.69462,0.89483,0.000191129,0.000191129,0.000191129
107,2061.09,1.51539,0.80281,0.92694,0.94228,0.94379,0.95116,0.51962,1.37897,0.70768,0.89596,0.00017934,0.00017934,0.00017934
108,2080.41,1.51196,0.80287,0.91009,0.95418,0.94054,0.9547,0.53146,1.3673,0.69727,0.89465,0.00016755,0.00016755,0.00016755
109,2099.46,1.49382,0.78403,0.9127,0.94818,0.93526,0.94625,0.53329,1.35716,0.69122,0.89226,0.000155761,0.000155761,0.000155761
110,2118.78,1.53907,0.79484,0.93026,0.9513,0.94501,0.95751,0.53738,1.35479,0.69138,0.89082,0.000143972,0.000143972,0.000143972
111,2137.64,1.50082,0.82038,0.92854,0.9433,0.94984,0.9577,0.53188,1.36468,0.6992,0.89007,0.000132183,0.000132183,0.000132183
112,2155.98,1.49535,0.80675,0.94471,0.94619,0.94674,0.95603,0.53251,1.35845,0.69401,0.89033,0.000120393,0.000120393,0.000120393
113,2174.59,1.45318,0.80139,0.92212,0.94959,0.94903,0.95906,0.53535,1.36748,0.69694,0.89192,0.000108604,0.000108604,0.000108604
114,2193.45,1.48193,0.79227,0.92034,0.95447,0.95201,0.9572,0.53753,1.35836,0.68959,0.89121,9.68148e-05,9.68148e-05,9.68148e-05
115,2212.18,1.47538,0.77536,0.9294,0.96047,0.9552,0.95802,0.53453,1.36149,0.68894,0.89186,8.50255e-05,8.50255e-05,8.50255e-05
116,2230.99,1.45115,0.78052,0.92389,0.95863,0.95496,0.95977,0.53392,1.35973,0.687,0.89089,7.32362e-05,7.32362e-05,7.32362e-05
117,2249.41,1.43139,0.78261,0.93514,0.96374,0.95037,0.95756,0.54125,1.33944,0.67483,0.88947,6.1447e-05,6.1447e-05,6.1447e-05
118,2268.44,1.47996,0.76499,0.93088,0.95289,0.94772,0.95671,0.54167,1.33743,0.67555,0.88834,4.96578e-05,4.96578e-05,4.96578e-05
119,2287.37,1.40411,0.74995,0.92347,0.95317,0.95065,0.95658,0.54297,1.33596,0.67266,0.8881,3.78685e-05,3.78685e-05,3.78685e-05
120,2305.35,1.42671,0.76098,0.92446,0.95801,0.94503,0.95598,0.54527,1.32939,0.66832,0.88747,2.60792e-05,2.60792e-05,2.60792e-05
